id|sub_cat_id|company_name_cn
004-016-359|004-016|759阿信屋
004-016-360|004-016|C!ty'super
004-016-361|004-016|Market Place by Jasons
004-016-362|004-016|Taste
004-016-363|004-016|UNY
004-016-364|004-016|U購Select
004-016-365|004-016|一田百貨
004-016-366|004-016|佳宝食品超級市場
004-016-367|004-016|優品360
004-016-368|004-016|唐吉訶德
004-016-369|004-016|大昌食品市場
004-016-370|004-016|惠康
004-016-371|004-016|aeon
004-016-372|004-016|百佳超級市場 / taste / gourmet fine food
004-016-373|004-016|華潤萬家
004-016-374|004-016|香港電視購物網絡
005-017-375|005-017|OK 便利店
005-017-376|005-017|7-11 便利店
005-017-377|005-017|家園便利店
005-017-378|005-017|VanGo
005-018-379|005-018|萬寧
005-018-380|005-018|屈臣氏
005-018-381|005-018|榮利西藥房
005-018-382|005-018|錦生大藥房
005-018-383|005-018|永佳大藥房
005-018-384|005-018|祥興西藥房
005-018-385|005-018|大華西藥房
005-018-386|005-018|恒生中西參茸藥房
005-018-387|005-018|仁愛藥房
005-018-388|005-018|運城中西大藥房
005-018-389|005-018|南華藥房
005-018-390|005-018|富安西藥房
005-018-391|005-018|海運藥房
005-018-392|005-018|高華大藥房
005-018-393|005-018|浩華大藥房
005-018-394|005-018|鴻興西藥房
005-018-395|005-018|新興藥房
005-018-396|005-018|嘉文藥房
005-018-397|005-018|環球西藥房
005-018-398|005-018|榮發藥房
005-018-399|005-018|和平藥房
005-018-400|005-018|永興藥房
005-018-401|005-018|金檳藥房
005-018-402|005-018|忠信藥房
005-018-403|005-018|順海國際集團中西大藥房
005-018-404|005-018|誠信大藥房
005-018-405|005-018|廣大西藥房
005-018-406|005-018|潮發大藥房
005-018-407|005-018|榮泰大藥房
005-018-408|005-018|彩運西藥房
005-018-409|005-018|長豐中西藥房超級市場
005-018-410|005-018|聯安大藥房
005-018-411|005-018|長春中西藥房
005-018-412|005-018|中大西藥房
005-018-413|005-018|海健藥房
005-018-414|005-018|啓源中西藥房
005-018-415|005-018|正興大藥房
005-018-416|005-018|富大西藥房
005-018-417|005-018|安康大藥房
005-018-418|005-018|達隆藥房 (樂道）
005-018-419|005-018|達隆藥房 （河內道）
005-018-420|005-018|潮州大藥房
005-018-421|005-018|大來大藥房
005-018-422|005-018|潮州藥房
005-018-423|005-018|新城中西藥房
005-018-424|005-018|德成大藥房
005-018-425|005-018|德信大藥房
005-018-426|005-018|智文藥房 （旺角）
005-018-427|005-018|智文藥房 （黃大仙）
005-018-428|005-018|榮華中西藥房
005-018-429|005-018|卓興大藥房
005-018-430|005-018|福興大藥房
005-018-431|005-018|興盛大藥房
005-018-432|005-018|鈞興大藥房
005-018-433|005-018|富明西藥房
005-018-434|005-018|富華西藥房
005-018-435|005-018|富明西藥房
005-018-436|005-018|偉華西藥房
005-018-437|005-018|偉華西藥房
005-018-438|005-018|鴻運大藥房
005-018-439|005-018|鴻運中西大藥房
005-018-440|005-018|金安參茸藥房
